id,election_id,person_id,party_id,votes,vote_share,elected,created_at,updated_at
136,28,136,10,1953,2.36,0,2025-12-12 15:18:13,2025-12-12 15:18:13
137,28,137,14,18140,21.9,0,2025-12-12 15:18:13,2025-12-12 15:18:13
138,28,138,29,4193,5.06,0,2025-12-12 15:18:13,2025-12-12 15:18:13
139,28,139,17,6574,7.94,0,2025-12-12 15:18:13,2025-12-12 15:18:13
140,28,140,7,1852,2.24,0,2025-12-12 15:18:13,2025-12-12 15:18:13
141,28,141,8,39063,47.16,1,2025-12-12 15:18:13,2025-12-12 15:18:13
142,28,142,4,11055,13.35,0,2025-12-12 15:18:13,2025-12-12 15:18:13
143,29,143,10,5307,3.33,0,2025-12-12 15:18:15,2025-12-12 15:18:15
144,29,144,14,73257,45.93,0,2025-12-12 15:18:15,2025-12-12 15:18:15
145,29,145,27,6456,4.05,0,2025-12-12 15:18:15,2025-12-12 15:18:15
146,29,146,18,74472,46.69,1,2025-12-12 15:18:15,2025-12-12 15:18:15
147,30,147,19,26418,54.57,1,2025-12-12 15:18:17,2025-12-12 15:18:17
148,30,148,12,19018,39.28,0,2025-12-12 15:18:17,2025-12-12 15:18:17
149,30,149,4,2976,6.15,0,2025-12-12 15:18:17,2025-12-12 15:18:17
150,31,150,6,6976,13.71,0,2025-12-12 15:18:19,2025-12-12 15:18:19
151,31,151,27,3749,7.37,0,2025-12-12 15:18:19,2025-12-12 15:18:19
152,31,152,8,34614,68.02,1,2025-12-12 15:18:19,2025-12-12 15:18:19
153,31,153,4,5552,10.91,0,2025-12-12 15:18:20,2025-12-12 15:18:20
154,32,154,24,5127,7.84,0,2025-12-12 15:18:22,2025-12-12 15:18:22
155,32,155,25,40674,62.2,1,2025-12-12 15:18:22,2025-12-12 15:18:22
156,32,156,12,7168,10.96,0,2025-12-12 15:18:22,2025-12-12 15:18:22
157,32,157,4,12420,18.99,0,2025-12-12 15:18:22,2025-12-12 15:18:22
158,33,158,28,18457,29.76,0,2025-12-12 15:18:24,2025-12-12 15:18:24
159,33,159,8,20992,33.85,1,2025-12-12 15:18:24,2025-12-12 15:18:24
160,33,160,4,12489,20.14,0,2025-12-12 15:18:24,2025-12-12 15:18:24
161,33,161,4,5580,9.0,0,2025-12-12 15:18:24,2025-12-12 15:18:24
162,33,162,4,3383,5.45,0,2025-12-12 15:18:24,2025-12-12 15:18:24
163,33,163,4,1121,1.81,0,2025-12-12 15:18:24,2025-12-12 15:18:24
164,34,164,24,9321,6.43,0,2025-12-12 15:18:26,2025-12-12 15:18:26
165,34,165,10,31217,21.53,0,2025-12-12 15:18:26,2025-12-12 15:18:26
166,34,166,14,52293,36.06,1,2025-12-12 15:18:26,2025-12-12 15:18:26
167,34,167,12,52170,35.98,0,2025-12-12 15:18:26,2025-12-12 15:18:26
168,35,168,20,14556,70.66,1,2025-12-12 15:18:29,2025-12-12 15:18:29
169,35,169,21,6045,29.34,0,2025-12-12 15:18:29,2025-12-12 15:18:29
170,36,170,13,3189,2.97,0,2025-12-12 15:18:31,2025-12-12 15:18:31
171,36,171,14,32937,30.68,0,2025-12-12 15:18:31,2025-12-12 15:18:31
172,36,172,29,2691,2.51,0,2025-12-12 15:18:31,2025-12-12 15:18:31
173,36,173,7,4777,4.45,0,2025-12-12 15:18:31,2025-12-12 15:18:31
174,36,174,8,63755,59.39,1,2025-12-12 15:18:31,2025-12-12 15:18:31
175,37,175,33,87708,65.24,1,2025-12-12 15:18:33,2025-12-12 15:18:33
176,37,176,34,14718,10.95,0,2025-12-12 15:18:33,2025-12-12 15:18:33
177,37,177,27,10722,7.98,0,2025-12-12 15:18:33,2025-12-12 15:18:33
178,37,178,4,21283,15.83,0,2025-12-12 15:18:33,2025-12-12 15:18:33
179,38,179,13,16598,4.97,0,2025-12-12 15:18:35,2025-12-12 15:18:35
180,38,180,19,20744,6.21,0,2025-12-12 15:18:35,2025-12-12 15:18:35
181,38,181,31,124484,37.29,0,2025-12-12 15:18:35,2025-12-12 15:18:35
182,38,182,4,172015,51.53,1,2025-12-12 15:18:35,2025-12-12 15:18:35
183,39,183,22,44071,37.38,1,2025-12-12 15:18:38,2025-12-12 15:18:38
184,39,184,29,6948,5.89,0,2025-12-12 15:18:38,2025-12-12 15:18:38
185,39,185,31,17416,14.77,0,2025-12-12 15:18:38,2025-12-12 15:18:38
186,39,186,4,16461,13.96,0,2025-12-12 15:18:38,2025-12-12 15:18:38
187,39,187,4,9142,7.75,0,2025-12-12 15:18:38,2025-12-12 15:18:38
188,39,188,4,23854,20.23,0,2025-12-12 15:18:38,2025-12-12 15:18:38
189,40,189,13,4047,5.73,0,2025-12-12 15:18:40,2025-12-12 15:18:40
190,40,190,19,33544,47.53,1,2025-12-12 15:18:40,2025-12-12 15:18:40
191,40,191,27,6877,9.74,0,2025-12-12 15:18:40,2025-12-12 15:18:40
192,40,192,35,14298,20.26,0,2025-12-12 15:18:40,2025-12-12 15:18:40
193,40,193,4,11809,16.73,0,2025-12-12 15:18:40,2025-12-12 15:18:40
194,41,194,10,8737,9.45,0,2025-12-12 15:18:42,2025-12-12 15:18:42
195,41,195,16,33107,35.83,1,2025-12-12 15:18:42,2025-12-12 15:18:42
